,c,e,accuracy
0,0.01,0.01,0.06613626216717317
1,0.01,0.02,0.067384945023406
2,0.01,0.03,0.06825192119755977
3,0.01,0.04,0.06907467112856787
4,0.01,0.05,0.06987904414307343
5,0.01,0.06,0.07111377077249544
6,0.01,0.07,0.07114390093002293
7,0.01,0.08,0.07183120759693296
8,0.01,0.09,0.07165195730120298
9,0.01,0.1,0.07020906866808814
10,0.01,0.11,0.06872495050296482
11,0.01,0.12,0.06773369170696156
12,0.01,0.13,0.06633129947063447
13,0.01,0.14,0.0660924158179738
14,0.01,0.15,0.06653745384485413
15,0.01,0.16,0.06751615230752632
16,0.01,0.17,0.06906385263658772
17,0.01,0.18,0.07059253545596088
18,0.01,0.19,0.06940901926936405
19,0.01,0.2,0.06746981221671793
20,0.01,0.21,0.06681304180631646
21,0.01,0.22,0.06888648470931294
22,0.01,0.23,0.07096841095111024
23,0.01,0.24,0.07386659399549003
24,0.01,0.25,0.07781910560254793
25,0.01,0.26,0.07661980409505384
26,0.01,0.27,0.07862896549752721
27,0.01,0.28,0.08047302161738001
28,0.01,0.29,0.07837112474208448
29,0.01,0.3,0.07739810769121215
30,0.01,0.31,0.08008628534710238
31,0.01,0.32,0.08640990952744457
32,0.01,0.33,0.08922451293778683
33,0.01,0.34,0.0901107582607725
34,0.01,0.35,0.09011075826077246
35,0.01,0.36,0.09011075826077246
36,0.01,0.37,0.09011075826077246
37,0.01,0.38,0.09011075826077246
38,0.01,0.39,0.09011075826077246
39,0.01,0.4,0.09011075826077246
40,0.01,0.41,0.0901107582607725
41,0.01,0.42,0.0901107582607725
42,0.01,0.43,0.0901107582607725
43,0.01,0.44,0.0901107582607725
44,0.01,0.45,0.0901107582607725
45,0.01,0.46,0.0901107582607725
46,0.01,0.47,0.09011075826077246
47,0.01,0.48,0.09011075826077246
48,0.01,0.49,0.09011075826077246
49,0.01,0.5,0.09011075826077246
50,0.01,0.51,0.09011075826077246
51,0.01,0.52,0.09011075826077246
52,0.01,0.53,0.09011075826077246
53,0.01,0.54,0.09011075826077246
54,0.01,0.55,0.09011075826077246
55,0.01,0.56,0.09011075826077246
56,0.01,0.57,0.09011075826077246
57,0.01,0.58,0.09011075826077246
58,0.01,0.59,0.09011075826077246
59,0.01,0.6,0.09011075826077246
60,0.01,0.61,0.09011075826077246
61,0.01,0.62,0.09011075826077246
62,0.01,0.63,0.09011075826077246
63,0.01,0.64,0.09011075826077246
64,0.01,0.65,0.09011075826077246
65,0.01,0.66,0.09011075826077246
66,0.01,0.67,0.09011075826077246
67,0.01,0.68,0.09011075826077246
68,0.01,0.69,0.09011075826077246
69,0.01,0.7,0.09011075826077246
70,0.01,0.71,0.09011075826077246
71,0.01,0.72,0.09011075826077246
72,0.01,0.73,0.09011075826077246
73,0.01,0.74,0.09011075826077246
74,0.01,0.75,0.09011075826077246
75,0.01,0.76,0.09011075826077246
76,0.01,0.77,0.09011075826077246
77,0.01,0.78,0.09011075826077246
78,0.01,0.79,0.09011075826077246
79,0.01,0.8,0.09011075826077246
80,0.01,0.81,0.09011075826077246
81,0.01,0.82,0.09011075826077246
82,0.01,0.83,0.09011075826077246
83,0.01,0.84,0.09011075826077246
84,0.01,0.85,0.09011075826077246
85,0.01,0.86,0.09011075826077246
86,0.01,0.87,0.09011075826077246
87,0.01,0.88,0.09011075826077246
88,0.01,0.89,0.09011075826077246
89,0.01,0.9,0.09011075826077246
90,0.01,0.91,0.09011075826077246
91,0.01,0.92,0.09011075826077246
92,0.01,0.93,0.09011075826077246
93,0.01,0.94,0.0901107582607725
94,0.01,0.95,0.0901107582607725
95,0.01,0.96,0.0901107582607725
96,0.01,0.97,0.0901107582607725
97,0.01,0.98,0.0901107582607725
98,0.01,0.99,0.0901107582607725
99,0.02,0.01,0.06587358484139025
100,0.02,0.02,0.066946891103193
101,0.02,0.03,0.06797704054583345
102,0.02,0.04,0.06901923517435353
103,0.02,0.05,0.06986125139763207
104,0.02,0.06,0.07089617376525112
105,0.02,0.07,0.07107044141496988
106,0.02,0.08,0.07169240079048211
107,0.02,0.09,0.0712941920442836
108,0.02,0.1,0.07002634394995391
109,0.02,0.11,0.06849915921107806
110,0.02,0.12,0.0673871804934825
111,0.02,0.13,0.06610044254267138
112,0.02,0.14,0.06598160712067322
113,0.02,0.15,0.06652148576102104
114,0.02,0.16,0.06773138036624402
115,0.02,0.17,0.06886171742463972
116,0.02,0.18,0.07026093605960099
117,0.02,0.19,0.0684877341497653
118,0.02,0.2,0.0679320016441514
119,0.02,0.21,0.06800904136502346
120,0.02,0.22,0.06935045827411833
121,0.02,0.23,0.07166736755011532
122,0.02,0.24,0.0744827157283103
123,0.02,0.25,0.07814941652543697
124,0.02,0.26,0.07862664481440923
125,0.02,0.27,0.0806745809841656
126,0.02,0.28,0.08086471517602285
127,0.02,0.29,0.07938667834285831
128,0.02,0.3,0.08010919372957506
129,0.02,0.31,0.08249749250422093
130,0.02,0.32,0.08842954409344307
131,0.02,0.33,0.08901156000825017
132,0.02,0.34,0.0901107582607725
133,0.02,0.35,0.09011075826077246
134,0.02,0.36,0.09011075826077246
135,0.02,0.37,0.09011075826077246
136,0.02,0.38,0.09011075826077246
137,0.02,0.39,0.09011075826077246
138,0.02,0.4,0.09011075826077246
139,0.02,0.41,0.0901107582607725
140,0.02,0.42,0.0901107582607725
141,0.02,0.43,0.0901107582607725
142,0.02,0.44,0.0901107582607725
143,0.02,0.45,0.0901107582607725
144,0.02,0.46,0.0901107582607725
145,0.02,0.47,0.09011075826077246
146,0.02,0.48,0.09011075826077246
147,0.02,0.49,0.09011075826077246
148,0.02,0.5,0.09011075826077246
149,0.02,0.51,0.09011075826077246
150,0.02,0.52,0.09011075826077246
151,0.02,0.53,0.09011075826077246
152,0.02,0.54,0.09011075826077246
153,0.02,0.55,0.09011075826077246
154,0.02,0.56,0.09011075826077246
155,0.02,0.57,0.09011075826077246
156,0.02,0.58,0.09011075826077246
157,0.02,0.59,0.09011075826077246
158,0.02,0.6,0.09011075826077246
159,0.02,0.61,0.09011075826077246
160,0.02,0.62,0.09011075826077246
161,0.02,0.63,0.09011075826077246
162,0.02,0.64,0.09011075826077246
163,0.02,0.65,0.09011075826077246
164,0.02,0.66,0.09011075826077246
165,0.02,0.67,0.09011075826077246
166,0.02,0.68,0.09011075826077246
167,0.02,0.69,0.09011075826077246
168,0.02,0.7,0.09011075826077246
169,0.02,0.71,0.09011075826077246
170,0.02,0.72,0.09011075826077246
171,0.02,0.73,0.09011075826077246
172,0.02,0.74,0.09011075826077246
173,0.02,0.75,0.09011075826077246
174,0.02,0.76,0.09011075826077246
175,0.02,0.77,0.09011075826077246
176,0.02,0.78,0.09011075826077246
177,0.02,0.79,0.09011075826077246
178,0.02,0.8,0.09011075826077246
179,0.02,0.81,0.09011075826077246
180,0.02,0.82,0.09011075826077246
181,0.02,0.83,0.09011075826077246
182,0.02,0.84,0.09011075826077246
183,0.02,0.85,0.09011075826077246
184,0.02,0.86,0.09011075826077246
185,0.02,0.87,0.09011075826077246
186,0.02,0.88,0.09011075826077246
187,0.02,0.89,0.09011075826077246
188,0.02,0.9,0.09011075826077246
189,0.02,0.91,0.09011075826077246
190,0.02,0.92,0.09011075826077246
191,0.02,0.93,0.09011075826077246
192,0.02,0.94,0.0901107582607725
193,0.02,0.95,0.0901107582607725
194,0.02,0.96,0.0901107582607725
195,0.02,0.97,0.0901107582607725
196,0.02,0.98,0.0901107582607725
197,0.02,0.99,0.0901107582607725
198,0.03,0.01,0.06572832658204178
199,0.03,0.02,0.06667428046035415
200,0.03,0.03,0.06773396819167529
201,0.03,0.04,0.06914183571274361
202,0.03,0.05,0.06988340574557983
203,0.03,0.06,0.07087161317624843
204,0.03,0.07,0.07118803725505753
205,0.03,0.08,0.07158875188826604
206,0.03,0.09,0.07095831307033434
207,0.03,0.1,0.06987961079122
208,0.03,0.11,0.06845230889949848
209,0.03,0.12,0.06721561342372853
210,0.03,0.13,0.06594334320917397
211,0.03,0.14,0.065847021437065
212,0.03,0.15,0.0663285532470588
213,0.03,0.16,0.06735693845414653
214,0.03,0.17,0.0688944930692098
215,0.03,0.18,0.0698555720290003
216,0.03,0.19,0.06855402229321506
217,0.03,0.2,0.06811117120429214
218,0.03,0.21,0.06868223078241817
219,0.03,0.22,0.0702351590644739
220,0.03,0.23,0.07258279968839158
221,0.03,0.24,0.07593488823679842
222,0.03,0.25,0.07924423870442629
223,0.03,0.26,0.08129068036748681
224,0.03,0.27,0.08245477990155911
225,0.03,0.28,0.08118017537136607
226,0.03,0.29,0.0812395322325831
227,0.03,0.3,0.08296008096644818
228,0.03,0.31,0.08504062342657377
229,0.03,0.32,0.08765948801383563
230,0.03,0.33,0.08901156000825017
231,0.03,0.34,0.0901107582607725
232,0.03,0.35,0.09011075826077246
233,0.03,0.36,0.09011075826077246
234,0.03,0.37,0.09011075826077246
235,0.03,0.38,0.09011075826077246
236,0.03,0.39,0.09011075826077246
237,0.03,0.4,0.09011075826077246
238,0.03,0.41,0.0901107582607725
239,0.03,0.42,0.0901107582607725
240,0.03,0.43,0.0901107582607725
241,0.03,0.44,0.0901107582607725
242,0.03,0.45,0.0901107582607725
243,0.03,0.46,0.0901107582607725
244,0.03,0.47,0.09011075826077246
245,0.03,0.48,0.09011075826077246
246,0.03,0.49,0.09011075826077246
247,0.03,0.5,0.09011075826077246
248,0.03,0.51,0.09011075826077246
249,0.03,0.52,0.09011075826077246
250,0.03,0.53,0.09011075826077246
251,0.03,0.54,0.09011075826077246
252,0.03,0.55,0.09011075826077246
253,0.03,0.56,0.09011075826077246
254,0.03,0.57,0.09011075826077246
255,0.03,0.58,0.09011075826077246
256,0.03,0.59,0.09011075826077246
257,0.03,0.6,0.09011075826077246
258,0.03,0.61,0.09011075826077246
259,0.03,0.62,0.09011075826077246
260,0.03,0.63,0.09011075826077246
261,0.03,0.64,0.09011075826077246
262,0.03,0.65,0.09011075826077246
263,0.03,0.66,0.09011075826077246
264,0.03,0.67,0.09011075826077246
265,0.03,0.68,0.09011075826077246
266,0.03,0.69,0.09011075826077246
267,0.03,0.7,0.09011075826077246
268,0.03,0.71,0.09011075826077246
269,0.03,0.72,0.09011075826077246
270,0.03,0.73,0.09011075826077246
271,0.03,0.74,0.09011075826077246
272,0.03,0.75,0.09011075826077246
273,0.03,0.76,0.09011075826077246
274,0.03,0.77,0.09011075826077246
275,0.03,0.78,0.09011075826077246
276,0.03,0.79,0.09011075826077246
277,0.03,0.8,0.09011075826077246
278,0.03,0.81,0.09011075826077246
279,0.03,0.82,0.09011075826077246
280,0.03,0.83,0.09011075826077246
281,0.03,0.84,0.09011075826077246
282,0.03,0.85,0.09011075826077246
283,0.03,0.86,0.09011075826077246
284,0.03,0.87,0.09011075826077246
285,0.03,0.88,0.09011075826077246
286,0.03,0.89,0.09011075826077246
287,0.03,0.9,0.09011075826077246
288,0.03,0.91,0.09011075826077246
289,0.03,0.92,0.09011075826077246
290,0.03,0.93,0.09011075826077246
291,0.03,0.94,0.0901107582607725
292,0.03,0.95,0.0901107582607725
293,0.03,0.96,0.0901107582607725
294,0.03,0.97,0.0901107582607725
295,0.03,0.98,0.0901107582607725
296,0.03,0.99,0.0901107582607725
297,0.04,0.01,0.06560012224548559
298,0.04,0.02,0.06643681899700213
299,0.04,0.03,0.06752688152003247
300,0.04,0.04,0.06905007590530003
301,0.04,0.05,0.06980534295982492
302,0.04,0.06,0.07057127754826828
303,0.04,0.07,0.07117316006392135
304,0.04,0.08,0.07157515069765141
305,0.04,0.09,0.07071805948233849
306,0.04,0.1,0.06975361180687042
307,0.04,0.11,0.0684179175707219
308,0.04,0.12,0.06712051493811833
309,0.04,0.13,0.06590297508954494
310,0.04,0.14,0.06575513058535414
311,0.04,0.15,0.06631236967939295
312,0.04,0.16,0.06715793136371502
313,0.04,0.17,0.06860801018464381
314,0.04,0.18,0.06907453087043103
315,0.04,0.19,0.06835253592736937
316,0.04,0.2,0.06798322367405177
317,0.04,0.21,0.06902160969741677
318,0.04,0.22,0.07138819628607454
