c,e,mse
0.001,0.001,0.12122870112599746
0.001,0.002,0.12128511702273527
0.001,0.003,0.12131786347101288
0.001,0.004,0.12131217915873888
0.001,0.005,0.12126667142785688
0.001,0.006,0.1212448616810708
0.001,0.007,0.12125445233931033
0.001,0.008,0.12124020145715123
0.001,0.009,0.12118572334342806
0.001,0.01,0.12122743139369095
0.001,0.011,0.12128508763866316
0.001,0.012,0.12127335880860221
0.001,0.013,0.12129270755861646
0.001,0.014,0.12133030044735502
0.001,0.015,0.12126700713736663
0.001,0.016,0.12124321525132198
0.001,0.017,0.12124670805138085
0.001,0.018,0.12128374445038759
0.001,0.019,0.12125460575117866
0.001,0.02,0.12124616680485947
0.001,0.021,0.12119413293735823
0.001,0.022,0.1211475690397597
0.001,0.023,0.12109900142809692
0.001,0.024,0.12109296885573217
0.001,0.025,0.12107968452962092
0.001,0.026,0.12109834091521245
0.001,0.027,0.12113604433915764
0.001,0.028,0.12108359323757589
0.001,0.029,0.12114739892777324
0.001,0.03,0.12107344013058813
0.001,0.031,0.12105649779779291
0.001,0.032,0.12101636305950439
0.001,0.033,0.12107958354116914
0.001,0.034,0.121086201454711
0.001,0.035,0.12115154071636708
0.001,0.036,0.12117612941710519
0.001,0.037,0.12118784474748484
0.001,0.038,0.12116001195180744
0.001,0.039,0.12120346033351442
0.001,0.04,0.12124725892521175
0.001,0.041,0.1212623589213706
0.001,0.042,0.12121758899431645
0.001,0.043,0.12120086330096676
0.001,0.044,0.12121534819133695
0.001,0.045,0.12129451287426392
0.001,0.046,0.12133935459694214
0.001,0.047,0.12134335784266516
0.001,0.048,0.12133626267837724
0.001,0.049,0.12136799348760126
0.001,0.05,0.12143353034413731
0.001,0.051,0.12144319166437213
0.001,0.052,0.12148333533567933
0.001,0.053,0.12146013214689409
0.001,0.054,0.12146751091596418
0.001,0.055,0.12147493992619775
0.001,0.056,0.12151461809955494
0.001,0.057,0.12151117499701433
0.001,0.058,0.12156149149990135
0.001,0.059,0.12157944545610141
0.001,0.06,0.12155998973911042
0.001,0.061,0.12158212097364605
0.001,0.062,0.12159949154621819
0.001,0.063,0.12160860218320647
0.001,0.064,0.12157559782160572
0.001,0.065,0.12150603316778813
0.001,0.066,0.12151340993618569
0.001,0.067,0.12151081431511718
0.001,0.068,0.12151009376297396
0.001,0.069,0.12156933813402108
0.001,0.07,0.1216079152359283
0.001,0.071,0.12171240684721198
0.001,0.072,0.12165327290613896
0.001,0.073,0.1217551453858153
0.001,0.074,0.12175702228329194
0.001,0.075,0.12173215339141606
0.001,0.076,0.12185248359915564
0.001,0.077,0.12184605919167205
0.001,0.078,0.1218486233340173
0.001,0.079,0.12182232246984599
0.001,0.08,0.12174580756392163
0.001,0.081,0.12181821603685992
0.001,0.082,0.12195120785133451
0.001,0.083,0.12205264080213024
0.001,0.084,0.12217471538794472
0.001,0.085,0.12227470489831237
