c,e,mse
0.001,0.001,0.14556351242461357
0.001,0.002,0.14554233399035804
0.001,0.003,0.14553385640344077
0.001,0.004,0.14551191096519325
0.001,0.005,0.14547003923533783
0.001,0.006,0.14546834423347985
0.001,0.007,0.14546756272986205
0.001,0.008,0.14547435636788014
0.001,0.009,0.14545567287742803
0.001,0.01,0.14544662554120705
0.001,0.011,0.14542353796665386
0.001,0.012,0.145434841444817
0.001,0.013,0.14543055702787278
0.001,0.014,0.14541421784619993
0.001,0.015,0.14541396820470776
0.001,0.016,0.14540584435717704
0.001,0.017,0.14539293314185442
0.001,0.018,0.1454022472976523
0.001,0.019,0.14538694489410173
0.001,0.02,0.1453843374423159
0.001,0.021,0.1453781534002225
0.001,0.022,0.14537256913881863
0.001,0.023,0.14537150239093077
0.001,0.024,0.14537034547104996
0.001,0.025,0.14537168349406668
0.001,0.026,0.14538366227782332
0.001,0.027,0.14540967457302256
0.001,0.028,0.14544899409757575
0.001,0.029,0.14550635289021785
0.001,0.03,0.14552938193814696
0.001,0.031,0.14558134917838939
0.001,0.032,0.1456327679726636
0.001,0.033,0.14567412335621532
0.001,0.034,0.14569786710104432
0.001,0.035,0.14575283026539526
0.001,0.036,0.14581566896560785
0.001,0.037,0.14587303882043526
0.001,0.038,0.14597934057361467
0.001,0.039,0.1460219792958855
0.001,0.04,0.1461466247141144
0.001,0.041,0.1461709024902707
0.001,0.042,0.1462024862558129
0.001,0.043,0.1462644726052829
0.001,0.044,0.14630368932350693
0.001,0.045,0.14650254145551972
0.001,0.046,0.1465025414555197
0.001,0.047,0.1465667563118411
0.001,0.048,0.14672617189070816
0.001,0.049,0.146825485597743
0.001,0.05,0.14687749366996508
0.001,0.051,0.1470432774187222
0.001,0.052,0.147133065753345
0.001,0.053,0.14730203923474716
0.001,0.054,0.14734245375089744
0.001,0.055,0.1475313659784279
0.001,0.056,0.14762542937222217
0.001,0.057,0.14774169814336657
0.001,0.058,0.1477255673393385
0.001,0.059,0.14782022161666766
0.001,0.06,0.14793322595987934
0.001,0.061,0.14797267552899995
0.001,0.062,0.14808612487103778
0.001,0.063,0.14805965911632768
0.001,0.064,0.14801670212429438
0.001,0.065,0.1480607236680639
0.001,0.066,0.1482063284538083
0.001,0.067,0.14808442543067357
0.001,0.068,0.14803039150848962
0.001,0.069,0.14809455073885344
0.001,0.07,0.14794265751778607
0.001,0.071,0.14788764631658374
0.001,0.072,0.14801880129359737
0.001,0.073,0.14798034291595438
0.001,0.074,0.14779452411013927
0.001,0.075,0.14796676520585245
0.001,0.076,0.14797726346161794
0.001,0.077,0.14805358017816733
0.001,0.078,0.14812349257969773
0.001,0.079,0.14814962580646798
0.001,0.08,0.14814784781013554
0.001,0.081,0.1481361555154531
0.001,0.082,0.14815143618967316
0.001,0.083,0.14830664593440904
0.001,0.084,0.1483683547919531
0.001,0.085,0.1482398247454929
0.001,0.086,0.14823408717822215
0.001,0.087,0.14829647921505862
0.001,0.088,0.14819234623356095
0.001,0.089,0.14811796383074183
0.001,0.09,0.1482152698422336
0.001,0.091,0.14822377558295238
0.001,0.092,0.14806111099925662
0.001,0.093,0.14803349053739115
0.001,0.094,0.14792967002586252
0.001,0.095,0.14774079063329648
0.001,0.096,0.1477355539559876
0.001,0.097,0.14763665154897934
0.001,0.098,0.1475172632973084
0.001,0.099,0.14734319065740994
0.002,0.001,0.12088410773535678
0.002,0.002,0.1208598483139575
0.002,0.003,0.12084978089327016
0.002,0.004,0.1208087958521557
0.002,0.005,0.12079157655248712
0.002,0.006,0.12078115420041037
0.002,0.007,0.12078848562423243
0.002,0.008,0.12079678014985527
0.002,0.009,0.1207781052885755
0.002,0.01,0.12076295680203387
0.002,0.011,0.12074686971124057
0.002,0.012,0.12075095098204337
0.002,0.013,0.12074779113480098
0.002,0.014,0.12073670287563044
0.002,0.015,0.120736699452486
0.002,0.016,0.12071850209595224
0.002,0.017,0.12071637935972973
0.002,0.018,0.12072565064678362
0.002,0.019,0.12070828593888884
0.002,0.02,0.1207074830404061
0.002,0.021,0.12070187690498001
0.002,0.022,0.12069573116549502
0.002,0.023,0.12069189828485882
0.002,0.024,0.12069057352601009
0.002,0.025,0.12069197253198516
0.002,0.026,0.12070440329628775
0.002,0.027,0.12073092962251185
0.002,0.028,0.12077938015429626
0.002,0.029,0.12083808390119741
0.002,0.03,0.12086845279151232
0.002,0.031,0.12090947164611746
0.002,0.032,0.12096322976793959
0.002,0.033,0.12101227725751064
0.002,0.034,0.12103823188384823
0.002,0.035,0.12107436458885501
0.002,0.036,0.1211364396345688
0.002,0.037,0.12119591172839035
0.002,0.038,0.12130026307116966
0.002,0.039,0.1213427383361766
0.002,0.04,0.12146330218291744
0.002,0.041,0.1215182053845795
0.002,0.042,0.1215172043176663
0.002,0.043,0.12158578011935045
0.002,0.044,0.12162175028910577
0.002,0.045,0.12181710361124792
0.002,0.046,0.12181777415340779
0.002,0.047,0.12188184739708205
0.002,0.048,0.12203815861870816
0.002,0.049,0.12213705181879406
0.002,0.05,0.12222168883174075
0.002,0.051,0.1223786664435821
0.002,0.052,0.12248570353104928
0.002,0.053,0.12262708396498577
0.002,0.054,0.12265654079447959
0.002,0.055,0.1228439639976643
0.002,0.056,0.12298424466249451
0.002,0.057,0.1230577648366249
0.002,0.058,0.12308291417150544
0.002,0.059,0.12313652845352042
0.002,0.06,0.12325102694532238
0.002,0.061,0.12329099798370759
0.002,0.062,0.1233971743956452
0.002,0.063,0.12337597066950831
0.002,0.064,0.1234824994079715
0.002,0.065,0.12337795624571653
0.002,0.066,0.12349610316766883
0.002,0.067,0.12339960171332058
0.002,0.068,0.12334349435809619
0.002,0.069,0.12341185599540858
0.002,0.07,0.12325843952302463
0.002,0.071,0.12320495781847866
0.002,0.072,0.12338087923756666
0.002,0.073,0.12329620170703942
0.002,0.074,0.12312236291042075
0.002,0.075,0.12333434525683427
0.002,0.076,0.12329685065770041
0.002,0.077,0.12337786653819517
0.002,0.078,0.12344521289725201
0.002,0.079,0.12346820939951625
0.002,0.08,0.12346959018822544
0.002,0.081,0.12358329565215424
0.002,0.082,0.12349896628044471
0.002,0.083,0.12365086194113131
0.002,0.084,0.12368845964499621
0.002,0.085,0.12355724189111865
0.002,0.086,0.12356020061092648
0.002,0.087,0.12361616957903769
0.002,0.088,0.12351280007902157
0.002,0.089,0.12349291569519096
0.002,0.09,0.12354144599742077
0.002,0.091,0.12354245248136708
0.002,0.092,0.12338376223507616
0.002,0.093,0.12341088419973843
0.002,0.094,0.12325077296194938
0.002,0.095,0.12306244173358022
0.002,0.096,0.12307864185672211
0.002,0.097,0.12296459308991099
0.002,0.098,0.1228390423784052
0.002,0.099,0.12266693011798659
0.003,0.001,0.1018074507192031
0.003,0.002,0.10184665182735497
0.003,0.003,0.10179754032223469
0.003,0.004,0.10179085846367249
0.003,0.005,0.10176356064516075
0.003,0.006,0.10172935292355423
0.003,0.007,0.10175077266159492
0.003,0.008,0.10174133906692621
0.003,0.009,0.10163466733132992
0.003,0.01,0.10168523431871548
0.003,0.011,0.10169852917700299
0.003,0.012,0.10169365482837443
0.003,0.013,0.10168083161479169
0.003,0.014,0.10167709062431479
0.003,0.015,0.1017895703090604
0.003,0.016,0.10187561983273172
0.003,0.017,0.10194373828875287
0.003,0.018,0.10200687004994144
0.003,0.019,0.10200638768937113
0.003,0.02,0.1021044022237694
0.003,0.021,0.10213361625684263
0.003,0.022,0.1021656559666124
0.003,0.023,0.10220610581493934
0.003,0.024,0.10221060104221255
0.003,0.025,0.1022267603794715
0.003,0.026,0.10225757039996289
