c,e,mse
0.001,0.001,0.10626326868488835
0.001,0.002,0.10613439603171486
0.001,0.003,0.10598054987786873
0.001,0.004,0.10582670372402253
0.001,0.005,0.10562550910654965
0.001,0.006,0.10562237218151443
0.001,0.007,0.10577621833536058
0.001,0.008,0.10593309777662166
0.001,0.009,0.1060255980210792
0.001,0.01,0.10619247079422033
0.001,0.011,0.10612930006805318
0.001,0.012,0.10597545391420701
0.001,0.013,0.10582160776036087
0.001,0.014,0.10566776160651471
0.001,0.015,0.10551391545266854
0.001,0.016,0.10536006929882238
0.001,0.017,0.10520622314497625
0.001,0.018,0.10505237699113007
0.001,0.019,0.10493504752360974
0.001,0.02,0.10508878715768079
0.001,0.021,0.10556326612811494
0.001,0.022,0.10546575683585095
0.001,0.023,0.1053119106820048
0.001,0.024,0.10530955977943779
0.001,0.025,0.10572283316365734
0.001,0.026,0.10579895598167116
0.001,0.027,0.10610513208641249
0.001,0.028,0.10602620123190826
0.001,0.029,0.10594927815498521
0.001,0.03,0.10621178216448673
0.001,0.031,0.10628870524140979
0.001,0.032,0.10637728837199599
0.001,0.033,0.10653113452584215
0.001,0.034,0.10668498067968829
0.001,0.035,0.10697070069224808
0.001,0.036,0.10712658860601472
0.001,0.037,0.10734762928116827
0.001,0.038,0.10719378312732213
0.001,0.039,0.10730382371932129
0.001,0.04,0.10743898047807375
0.001,0.041,0.10743898047807375
0.001,0.042,0.1073646866327819
0.001,0.043,0.1072355809962478
0.001,0.044,0.10715865791932472
0.001,0.045,0.10708173484240165
0.001,0.046,0.10702952295411183
0.001,0.047,0.10702952295411183
0.001,0.048,0.10741834549190761
0.001,0.049,0.10741834549190761
0.001,0.05,0.10741834549190761
0.001,0.051,0.1074183454919076
0.001,0.052,0.10741834549190761
0.001,0.053,0.1074183454919076
0.001,0.054,0.10741834549190761
0.001,0.055,0.10741834549190762
0.001,0.056,0.1074183454919076
0.001,0.057,0.10741834549190761
0.001,0.058,0.10741834549190761
0.001,0.059,0.10780751726869066
0.001,0.06,0.10780751726869069
0.001,0.061,0.1079358928700961
0.001,0.062,0.1079358928700961
0.001,0.063,0.10793589287009607
0.001,0.064,0.1079358928700961
0.001,0.065,0.1079358928700961
0.001,0.066,0.10793589287009607
0.001,0.067,0.1079358928700961
0.001,0.068,0.1079358928700961
0.001,0.069,0.10808124694664364
0.001,0.07,0.10808124694664366
0.001,0.071,0.10808124694664367
0.001,0.072,0.10808124694664367
0.001,0.073,0.10808124694664364
0.001,0.074,0.10822595276996996
0.001,0.075,0.1083711626149293
0.001,0.076,0.1083711626149293
0.001,0.077,0.1083711626149293
0.001,0.078,0.10837116261492928
0.001,0.079,0.1083711626149293
0.001,0.08,0.1083711626149293
0.001,0.081,0.1083711626149293
0.001,0.082,0.10878153281475002
0.001,0.083,0.10917699683313552
0.001,0.084,0.10962505617186674
0.001,0.085,0.10996703943312015
0.001,0.086,0.10996703943312017
0.001,0.087,0.10996703943312015
0.001,0.088,0.10996703943312015
0.001,0.089,0.10996703943312015
0.001,0.09,0.11043673819498247
0.001,0.091,0.1112010095462259
0.001,0.092,0.11132785933178144
0.001,0.093,0.11161266265397543
0.001,0.094,0.11161266265397543
0.001,0.095,0.11161266265397544
0.001,0.096,0.11161266265397542
0.001,0.097,0.11202475993154162
0.001,0.098,0.11243612770439512
0.001,0.099,0.11284720317989724
0.002,0.001,0.08082792605037817
0.002,0.002,0.08104260940058575
0.002,0.003,0.08201838775581081
0.002,0.004,0.08243021141846228
0.002,0.005,0.08241264994963714
0.002,0.006,0.08282694201092909
0.002,0.007,0.08255771124169818
0.002,0.008,0.08228848047246742
0.002,0.009,0.08201924970323662
0.002,0.01,0.08182724249387521
0.002,0.011,0.08175031941695222
