c,e,mse
0.001,0.001,0.09924078050567467
0.001,0.002,0.09918794378390854
0.001,0.003,0.09917413478890381
0.001,0.004,0.09906993919778183
0.001,0.005,0.09902787240892333
0.001,0.006,0.09916930689197251
0.001,0.007,0.09920255726685578
0.001,0.008,0.09897457150032891
0.001,0.009,0.09870242792042219
0.001,0.01,0.09866250621214266
0.001,0.011,0.09888345429603981
0.001,0.012,0.09875361916097106
0.001,0.013,0.09902447669074065
0.001,0.014,0.09906040034247167
0.001,0.015,0.09911361903313436
0.001,0.016,0.09924775675725371
0.001,0.017,0.0992557100528103
0.001,0.018,0.09906375051708277
0.001,0.019,0.09908906138974935
0.001,0.02,0.09903613161324588
0.001,0.021,0.09908996034943138
0.001,0.022,0.09915325148867186
0.001,0.023,0.09960575160924505
0.001,0.024,0.09948701691092517
0.001,0.025,0.09951604426279169
0.001,0.026,0.09981278889265309
0.001,0.027,0.10018651608320644
0.001,0.028,0.1003741927526554
0.001,0.029,0.10043995665598897
0.001,0.03,0.10046341911132453
0.001,0.031,0.10072774219249858
0.001,0.032,0.10099494540920788
0.001,0.033,0.10141091166758918
0.001,0.034,0.101442055264111
0.001,0.035,0.10173313975738323
0.001,0.036,0.10196954027824204
0.001,0.037,0.10229269596636696
0.001,0.038,0.10233125097967508
0.001,0.039,0.102710100957433
0.001,0.04,0.10291978346000245
0.001,0.041,0.10285243037238076
0.001,0.042,0.10306049504340634
0.001,0.043,0.10315648293188516
0.001,0.044,0.10332832922654099
0.001,0.045,0.1033332000191425
0.001,0.046,0.1034304103722854
0.001,0.047,0.10370490467201432
0.001,0.048,0.10401202067000494
0.001,0.049,0.10388618219440594
0.001,0.05,0.10383006424388043
0.001,0.051,0.10384529091445704
0.001,0.052,0.10387488777560665
0.001,0.053,0.10396614402308686
0.001,0.054,0.10403338375044649
0.001,0.055,0.1039182367705711
0.001,0.056,0.10377899626424202
0.001,0.057,0.10383922224328226
0.001,0.058,0.1040699255198117
0.001,0.059,0.10393068501348261
0.001,0.06,0.10379144450715347
0.001,0.061,0.1036554451017342
0.001,0.062,0.1036380335812475
0.001,0.063,0.1037464961578599
0.001,0.064,0.10383820217858163
0.001,0.065,0.10421805760689538
0.001,0.066,0.10480268114333766
0.001,0.067,0.10487423678463033
0.001,0.068,0.10493585720539984
0.001,0.069,0.10535221221577573
0.001,0.07,0.10543020220795957
0.001,0.071,0.10578703173156688
0.001,0.072,0.10572200402213644
0.001,0.073,0.10566086907534175
