c,e,mse
0.001,0.001,0.005180192735655869
0.001,0.002,0.005306123203794783
0.001,0.003,0.005438198066724263
0.001,0.004,0.005616618675565664
0.001,0.005,0.005882345931735244
0.001,0.006,0.0061990515795681935
0.001,0.007,0.006454091176919166
0.001,0.008,0.006794573413376864
0.001,0.009,0.0071417185717653105
0.001,0.01,0.007420242760297634
0.001,0.011,0.007694004069094277
0.001,0.012,0.007970265261143307
0.001,0.013,0.008199621997763893
0.001,0.014,0.008482561322302002
0.001,0.015,0.008804911900300987
0.001,0.016,0.009015890538400975
0.001,0.017,0.009282729928984178
0.001,0.018,0.00952176292359804
0.001,0.019,0.009797114721659873
0.001,0.02,0.010040265437061095
0.001,0.021,0.01021069330613817
0.001,0.022,0.010401002016334178
0.001,0.023,0.010481023877286952
0.001,0.024,0.01062196733155552
0.001,0.025,0.010863289868484307
0.001,0.026,0.011061393424967394
0.001,0.027,0.011271172108473376
0.001,0.028,0.011525484821997967
0.001,0.029,0.011797736576876097
0.001,0.03,0.011874845093087213
0.001,0.031,0.01215924213437082
0.001,0.032,0.012410227111552423
0.001,0.033,0.012456473095872491
0.001,0.034,0.012899129878469648
0.001,0.035,0.012993884352839076
0.001,0.036,0.013069180637058343
0.001,0.037,0.013072852946794097
0.001,0.038,0.0132519451355599
0.001,0.039,0.013315289085765824
0.001,0.04,0.013524100898046253
0.001,0.041,0.013813537026415737
0.001,0.042,0.014090805505932615
0.001,0.043,0.013926622654160708
0.001,0.044,0.014139705547965252
0.001,0.045,0.014521920808738804
0.001,0.046,0.014673429294336304
0.001,0.047,0.014731365965895568
0.001,0.048,0.01483981895109757
0.001,0.049,0.014888648373902948
0.001,0.05,0.015270438530396389
0.001,0.051,0.015359444561073443
0.001,0.052,0.015359444561073443
0.001,0.053,0.015359444561073443
0.001,0.054,0.015359444561073443
0.001,0.055,0.015359444561073443
0.001,0.056,0.015359444561073443
0.001,0.057,0.015359444561073443
0.001,0.058,0.015359444561073443
0.001,0.059,0.015359444561073443
0.001,0.06,0.015359444561073443
0.001,0.061,0.015359444561073443
0.001,0.062,0.015359444561073443
0.001,0.063,0.015359444561073443
0.001,0.064,0.015359444561073443
0.001,0.065,0.015359444561073443
0.001,0.066,0.015359444561073443
0.001,0.067,0.015359444561073443
0.001,0.068,0.015359444561073443
0.001,0.069,0.015359444561073443
0.001,0.07,0.015359444561073443
0.001,0.071,0.015359444561073443
0.001,0.072,0.015359444561073443
0.001,0.073,0.015359444561073443
0.001,0.074,0.015359444561073443
0.001,0.075,0.015359444561073443
0.001,0.076,0.015359444561073443
0.001,0.077,0.015359444561073443
0.001,0.078,0.015359444561073443
0.001,0.079,0.015359444561073443
0.001,0.08,0.015359444561073443
0.001,0.081,0.015359444561073443
0.001,0.082,0.015359444561073443
0.001,0.083,0.015359444561073443
0.001,0.084,0.015359444561073443
0.001,0.085,0.015359444561073443
0.001,0.086,0.015359444561073443
0.001,0.087,0.015359444561073443
0.001,0.088,0.015359444561073443
0.001,0.089,0.015359444561073443
0.001,0.09,0.015359444561073443
0.001,0.091,0.015359444561073443
0.001,0.092,0.015359444561073443
0.001,0.093,0.015359444561073443
0.001,0.094,0.015359444561073443
0.001,0.095,0.015359444561073443
0.001,0.096,0.015359444561073443
0.001,0.097,0.015359444561073443
0.001,0.098,0.015359444561073443
0.001,0.099,0.015359444561073443
0.002,0.001,0.004425098059818715
0.002,0.002,0.0044810149428036695
0.002,0.003,0.0045392514732144765
0.002,0.004,0.004676132905967637
0.002,0.005,0.004805935501000064
0.002,0.006,0.005111287296979651
0.002,0.007,0.0053454253752050354
0.002,0.008,0.0056793308759324
0.002,0.009,0.00603554904967128
0.002,0.01,0.00636220114161026
0.002,0.011,0.00663487276381221
0.002,0.012,0.00693776389156801
0.002,0.013,0.007293856411720283
0.002,0.014,0.007622395373492412
0.002,0.015,0.007954068048671693
0.002,0.016,0.008243098676730566
0.002,0.017,0.008498563947539723
0.002,0.018,0.008758791364399544
0.002,0.019,0.009030792596524244
0.002,0.02,0.009290924273993537
0.002,0.021,0.009487482568674852
0.002,0.022,0.009758249523016009
0.002,0.023,0.009940468275439644
0.002,0.024,0.010137461138337937
0.002,0.025,0.010409057064543653
0.002,0.026,0.010735866893665996
0.002,0.027,0.011035186335681978
0.002,0.028,0.011307677424430505
0.002,0.029,0.011589210929562967
0.002,0.03,0.011749983902787196
0.002,0.031,0.012083770524782298
0.002,0.032,0.012214145746598643
0.002,0.033,0.012361476775800429
0.002,0.034,0.012375442935683757
0.002,0.035,0.012527543577416261
0.002,0.036,0.012756849367456753
0.002,0.037,0.012880469787851186
0.002,0.038,0.013001152027009917
0.002,0.039,0.013318531394782203
0.002,0.04,0.013754314985173181
0.002,0.041,0.013657458592916116
0.002,0.042,0.013718102978433318
0.002,0.043,0.014092942756519738
0.002,0.044,0.014379051039351588
0.002,0.045,0.014543409021701979
0.002,0.046,0.014582755308592993
0.002,0.047,0.014666268023904383
0.002,0.048,0.014760056391259968
0.002,0.049,0.015095894220945223
0.002,0.05,0.015237627872401396
0.002,0.051,0.015359444561073443
0.002,0.052,0.015359444561073443
0.002,0.053,0.015359444561073443
0.002,0.054,0.015359444561073443
0.002,0.055,0.015359444561073443
0.002,0.056,0.015359444561073443
0.002,0.057,0.015359444561073443
0.002,0.058,0.015359444561073443
0.002,0.059,0.015359444561073443
0.002,0.06,0.015359444561073443
0.002,0.061,0.015359444561073443
0.002,0.062,0.015359444561073443
0.002,0.063,0.015359444561073443
0.002,0.064,0.015359444561073443
0.002,0.065,0.015359444561073443
0.002,0.066,0.015359444561073443
0.002,0.067,0.015359444561073443
0.002,0.068,0.015359444561073443
0.002,0.069,0.015359444561073443
0.002,0.07,0.015359444561073443
0.002,0.071,0.015359444561073443
0.002,0.072,0.015359444561073443
0.002,0.073,0.015359444561073443
0.002,0.074,0.015359444561073443
0.002,0.075,0.015359444561073443
0.002,0.076,0.015359444561073443
0.002,0.077,0.015359444561073443
0.002,0.078,0.015359444561073443
0.002,0.079,0.015359444561073443
