c,e,mse
0.001,0.001,0.14181552639794776
0.001,0.002,0.14185123464696145
0.001,0.003,0.1418312453421196
0.001,0.004,0.14185199843012702
0.001,0.005,0.14180419840421712
0.001,0.006,0.14182717853715132
0.001,0.007,0.141816603978086
0.001,0.008,0.1418458125550938
0.001,0.009,0.1418458125550938
0.001,0.01,0.14184107096336518
0.001,0.011,0.14182184648085067
0.001,0.012,0.14173722796187588
0.001,0.013,0.1417372279618759
0.001,0.014,0.1417387569992184
0.001,0.015,0.1417633318349772
0.001,0.016,0.14175620315523313
0.001,0.017,0.14176239377791308
0.001,0.018,0.14176239377791305
0.001,0.019,0.14176643431437091
0.001,0.02,0.14182456759237327
0.001,0.021,0.14182456759237327
0.001,0.022,0.141798099109971
0.001,0.023,0.14180311921666627
0.001,0.024,0.14177303120181325
0.001,0.025,0.14175845769547732
0.001,0.026,0.14176336740049605
0.001,0.027,0.14176336740049605
0.001,0.028,0.14175752560599975
0.001,0.029,0.14176919758772766
0.001,0.03,0.14174243497560624
0.001,0.031,0.1417505248024336
0.001,0.032,0.14171980638564988
0.001,0.033,0.14171980638564988
0.001,0.034,0.14179245662364617
0.001,0.035,0.14181852537201645
0.001,0.036,0.14181852537201647
0.001,0.037,0.1417694200391987
0.001,0.038,0.14175733404114588
0.001,0.039,0.14175733404114588
0.001,0.04,0.14176125031643805
0.001,0.041,0.14173678286732452
0.001,0.042,0.14173678286732452
0.001,0.043,0.14176814503460597
0.001,0.044,0.14177869102251284
0.001,0.045,0.14178051088442603
0.001,0.046,0.141726723493299
0.001,0.047,0.1417057505386596
0.001,0.048,0.14172247508031366
0.001,0.049,0.14176655333048882
0.001,0.05,0.14176318238497956
0.001,0.051,0.14175674308930378
0.001,0.052,0.14175674308930378
0.001,0.053,0.14178365829117748
0.001,0.054,0.14178538957127917
0.001,0.055,0.14175458678453767
0.001,0.056,0.14173930806346594
0.001,0.057,0.14173930806346594
0.001,0.058,0.14176616293158653
0.001,0.059,0.14176616293158653
0.001,0.06,0.1417554380985765
0.001,0.061,0.1418111743773237
0.001,0.062,0.14184700568309694
0.001,0.063,0.14199069689821586
0.001,0.064,0.1419906968982159
0.001,0.065,0.14204782713215203
