c,e,mse
0.001,0.001,0.06478216232938895
0.001,0.002,0.06480107809450963
0.001,0.003,0.06478867185108624
0.001,0.004,0.06478299420273408
0.001,0.005,0.06478246796778975
0.001,0.006,0.06478034598802355
0.001,0.007,0.06478376083739676
0.001,0.008,0.06478567677318256
0.001,0.009,0.0648219043916241
0.001,0.01,0.0648420465066307
0.001,0.011,0.06488120793199728
0.001,0.012,0.0649300041159105
0.001,0.013,0.06500523002206608
0.001,0.014,0.06501213492567617
0.001,0.015,0.06508640793493989
0.001,0.016,0.06514628318472959
0.001,0.017,0.06519884932575115
0.001,0.018,0.06528185389946972
0.001,0.019,0.06537403808641645
0.001,0.02,0.06547206413291615
0.001,0.021,0.06548099301903035
0.001,0.022,0.06551652334210094
0.001,0.023,0.06557059423625053
0.001,0.024,0.06569171998000448
0.001,0.025,0.06572398793034115
0.001,0.026,0.06581139242371455
0.001,0.027,0.06582834941232123
0.001,0.028,0.06582874868221075
0.001,0.029,0.06587300680020516
0.001,0.03,0.06600297917690964
0.001,0.031,0.06614999284025005
0.001,0.032,0.06609373670491013
0.001,0.033,0.06616125922618091
0.001,0.034,0.06624230114446802
0.001,0.035,0.06639133501698953
0.001,0.036,0.06654458532995414
0.001,0.037,0.06651960094743699
0.001,0.038,0.0665538442862314
0.001,0.039,0.06669646980354414
0.001,0.04,0.06682525025086072
0.001,0.041,0.06688269606590266
0.001,0.042,0.06699304280141942
0.001,0.043,0.06703858599313299
0.001,0.044,0.06708952278140708
0.001,0.045,0.0671734930659057
0.001,0.046,0.06729704134446277
0.001,0.047,0.06744720133582272
0.001,0.048,0.06752439171557403
0.001,0.049,0.06749111049677832
0.001,0.05,0.06766952811517526
0.001,0.051,0.06769774772245415
0.001,0.052,0.06770732169581066
0.001,0.053,0.06763557973126477
0.001,0.054,0.06762506138128523
0.001,0.055,0.06765864245305149
0.001,0.056,0.06771130540526289
0.001,0.057,0.06786138499273366
0.001,0.058,0.06797826505576367
0.001,0.059,0.06790146498503771
0.001,0.06,0.06809232159980119
0.001,0.061,0.06822532254194394
0.001,0.062,0.0684693794945888
0.001,0.063,0.06849248674790122
0.001,0.064,0.06850248042333201
0.001,0.065,0.0685611827414223
0.001,0.066,0.06847799420703592
0.001,0.067,0.0685720524389494
0.001,0.068,0.0685498136412476
0.001,0.069,0.06855755589525916
0.001,0.07,0.06854083450453949
0.001,0.071,0.06861480888204015
0.001,0.072,0.06875239506499745
0.001,0.073,0.0687633933369377
0.001,0.074,0.06873259098798329
0.001,0.075,0.06872621907582846
0.001,0.076,0.06882572507972765
0.001,0.077,0.06890130439779996
0.001,0.078,0.06891220607543777
0.001,0.079,0.0687504722006961
0.001,0.08,0.06863902391388362
0.001,0.081,0.06862223111415343
0.001,0.082,0.0686216206490691
0.001,0.083,0.0688434538245517
0.001,0.084,0.0688389951799037
0.001,0.085,0.06894546442873944
0.001,0.086,0.06884686843216044
0.001,0.087,0.06881577759873159
0.001,0.088,0.0687876937990141
0.001,0.089,0.06869360985590907
0.001,0.09,0.06868241361262342
0.001,0.091,0.0686227236190853
0.001,0.092,0.06860211935353189
0.001,0.093,0.06837900011147882
0.001,0.094,0.06839868193865875
0.001,0.095,0.06833938230071301
0.001,0.096,0.06834513931800741
0.001,0.097,0.06827866436888992
0.001,0.098,0.06836074692851668
0.001,0.099,0.06833925988138474
0.002,0.001,0.06471474632035443
0.002,0.002,0.06474383022209722
0.002,0.003,0.06472874087896308
0.002,0.004,0.06470702824583648
0.002,0.005,0.06471300790912565
0.002,0.006,0.06471975727602959
0.002,0.007,0.0647334305366782
0.002,0.008,0.0647533085544222
0.002,0.009,0.06477239219767097
0.002,0.01,0.0648121404931316
0.002,0.011,0.06484217752408496
0.002,0.012,0.06488127013740705
0.002,0.013,0.06492499639878346
0.002,0.014,0.06500536624971925
0.002,0.015,0.06507257221310993
0.002,0.016,0.06513525804531943
0.002,0.017,0.06518536356480323
0.002,0.018,0.06528791292767655
0.002,0.019,0.0653242142281745
0.002,0.02,0.06543474528814468
0.002,0.021,0.0654486890612744
0.002,0.022,0.06554081498814572
0.002,0.023,0.06569027247989945
0.002,0.024,0.0657064488784597
0.002,0.025,0.06580611138681591
0.002,0.026,0.06581724881255449
0.002,0.027,0.065866952667947
0.002,0.028,0.0659377017486022
0.002,0.029,0.06589209223937204
0.002,0.03,0.06599414970119788
0.002,0.031,0.06603736794522515
0.002,0.032,0.06608034668173715
0.002,0.033,0.0661594319765737
0.002,0.034,0.06629014382362722
0.002,0.035,0.06634252349787807
0.002,0.036,0.06637481941911401
0.002,0.037,0.06645837469500149
0.002,0.038,0.06653535092862295
0.002,0.039,0.0665874884691944
0.002,0.04,0.06674333364920379
0.002,0.041,0.06682089436134149
0.002,0.042,0.06691675200233653
0.002,0.043,0.06686839335392528
0.002,0.044,0.06697724083043155
0.002,0.045,0.06715198342827347
0.002,0.046,0.06714003296157124
0.002,0.047,0.06720577529160496
0.002,0.048,0.06725712166910289
0.002,0.049,0.06738827156920174
0.002,0.05,0.06756952156920179
0.002,0.051,0.06758616564408183
0.002,0.052,0.06765761741288304
0.002,0.053,0.06773120689788267
0.002,0.054,0.06776785465132958
0.002,0.055,0.06769791591327295
0.002,0.056,0.0678691646558092
0.002,0.057,0.0678763123223578
0.002,0.058,0.06794832593631925
0.002,0.059,0.06816536107996946
0.002,0.06,0.06812277426301153
0.002,0.061,0.06821722262207022
0.002,0.062,0.06834564803123089
0.002,0.063,0.06828373380517239
0.002,0.064,0.06835177704871716
0.002,0.065,0.0684667877013174
0.002,0.066,0.06854812068818099
0.002,0.067,0.06858164147579004
0.002,0.068,0.06847627556365182
0.002,0.069,0.06838345230329854
0.002,0.07,0.06852667970907976
0.002,0.071,0.06854393080845207
0.002,0.072,0.06849698174197176
0.002,0.073,0.06860665810811661
0.002,0.074,0.06861430557691153
0.002,0.075,0.0686503878581132
0.002,0.076,0.06855485973742684
0.002,0.077,0.0685672543627132
0.002,0.078,0.0686135194412039
0.002,0.079,0.06858950205288612
0.002,0.08,0.06860546678823601
0.002,0.081,0.06869482692489667
0.002,0.082,0.06880971312994451
0.002,0.083,0.0687909716453441
0.002,0.084,0.06892136529222549
0.002,0.085,0.06898010132548286
0.002,0.086,0.0690015215044573
0.002,0.087,0.06897191949787376
0.002,0.088,0.06887301555254208
0.002,0.089,0.06877775934379966
0.002,0.09,0.06871340782277305
0.002,0.091,0.0685936783810058
0.002,0.092,0.06857098701835909
0.002,0.093,0.06851709185585113
0.002,0.094,0.06840617044312806
0.002,0.095,0.06832946873328309
0.002,0.096,0.06838752091295648
0.002,0.097,0.06832899162698299
0.002,0.098,0.06831749951573404
0.002,0.099,0.06812607810803406
0.003,0.001,0.06467633506895205
0.003,0.002,0.06468207198785554
0.003,0.003,0.06466116949620475
0.003,0.004,0.06466239658472475
0.003,0.005,0.06467974370858383
0.003,0.006,0.0646761153858771
0.003,0.007,0.06469425867821696
0.003,0.008,0.06472518382938773
0.003,0.009,0.06473981776823148
0.003,0.01,0.0647599361539497
0.003,0.011,0.06483353583235843
0.003,0.012,0.06486702460357124
0.003,0.013,0.06490317507495741
0.003,0.014,0.06495958932329471
0.003,0.015,0.06499123023503753
0.003,0.016,0.06509852916577391
0.003,0.017,0.06514232613705503
0.003,0.018,0.06524480865601304
0.003,0.019,0.0653388598270449
0.003,0.02,0.06543017739113317
0.003,0.021,0.06548337087182048
0.003,0.022,0.06556556858248011
0.003,0.023,0.0656929838388855
0.003,0.024,0.0656993972777922
0.003,0.025,0.06577988249582793
0.003,0.026,0.06580151228019729
0.003,0.027,0.06586401296642547
0.003,0.028,0.06593066257552986
0.003,0.029,0.06599434984361954
0.003,0.03,0.0659704148520619
0.003,0.031,0.06608188805548501
0.003,0.032,0.06602543475869667
0.003,0.033,0.06612123833616992
0.003,0.034,0.06625175508512257
0.003,0.035,0.06628432528916817
0.003,0.036,0.06637300442704622
0.003,0.037,0.06642127584683707
0.003,0.038,0.0665224416848495
0.003,0.039,0.06668913083120263
0.003,0.04,0.0667295680543382
0.003,0.041,0.06692073289194925
0.003,0.042,0.06688806006381025
0.003,0.043,0.06697849653725814
0.003,0.044,0.06705835474394688
0.003,0.045,0.06703545245426742
0.003,0.046,0.06712780835472307
0.003,0.047,0.06723159172309577
0.003,0.048,0.0673459022591649
0.003,0.049,0.0674750673201812
0.003,0.05,0.06749984724241712
0.003,0.051,0.06756331733449414
0.003,0.052,0.06760981962521853
0.003,0.053,0.06766310085988951
0.003,0.054,0.0676680861201039
0.003,0.055,0.06763241950696579
0.003,0.056,0.06770071523309998
0.003,0.057,0.06767001073365594
0.003,0.058,0.06786253674776774
0.003,0.059,0.06796126245736726
0.003,0.06,0.0681136996720704
0.003,0.061,0.06821113946315122
0.003,0.062,0.06835076248989062
0.003,0.063,0.06824287243096835
0.003,0.064,0.06822231173351814
0.003,0.065,0.06841078091796397
0.003,0.066,0.06829658647571632
0.003,0.067,0.06833092039565344
0.003,0.068,0.06847869149899247
0.003,0.069,0.06832994875598711
0.003,0.07,0.06821775736037695
0.003,0.071,0.06840946186061624
0.003,0.072,0.0685170786552665
0.003,0.073,0.06853132955055334
0.003,0.074,0.06843174617203468
0.003,0.075,0.06838946735224247
0.003,0.076,0.06842005131558551
0.003,0.077,0.06847047597127753
0.003,0.078,0.0684823157827514
0.003,0.079,0.06850807522322341
0.003,0.08,0.06861665496546537
0.003,0.081,0.06885725205558726
0.003,0.082,0.06888135201721513
0.003,0.083,0.06912157961830746
0.003,0.084,0.06897973386344822
0.003,0.085,0.06891814385534178
0.003,0.086,0.06920078191690403
0.003,0.087,0.06899738230160392
0.003,0.088,0.06889353634885013
0.003,0.089,0.06881123346924149
0.003,0.09,0.06880571816812643
0.003,0.091,0.06867772434991377
0.003,0.092,0.0684735923697829
0.003,0.093,0.06851596639067607
0.003,0.094,0.06853043804232872
0.003,0.095,0.06842576440966164
0.003,0.096,0.06841099918725708
0.003,0.097,0.06848322679176051
0.003,0.098,0.06826369272430158
0.003,0.099,0.06814707745575087
0.004,0.001,0.06462261614428495
0.004,0.002,0.06462700079818944
0.004,0.003,0.06463778330988665
0.004,0.004,0.06463793149888127
0.004,0.005,0.0646520852167381
0.004,0.006,0.0646396798591774
0.004,0.007,0.06467135886144951
0.004,0.008,0.06467898025864542
0.004,0.009,0.0646966150906442
0.004,0.01,0.06473871433901153
0.004,0.011,0.06478696244602879
0.004,0.012,0.06480671385803678
0.004,0.013,0.06487093962621904
0.004,0.014,0.06492896473720886
0.004,0.015,0.06497169355285606
0.004,0.016,0.06504562141361274
0.004,0.017,0.06510503060184483
0.004,0.018,0.06519769110529801
0.004,0.019,0.06528654215473968
0.004,0.02,0.06538928463745565
0.004,0.021,0.06546431053318404
0.004,0.022,0.06555183648682304
0.004,0.023,0.06568044288146782
0.004,0.024,0.06574064560111596
0.004,0.025,0.06570270002365176
0.004,0.026,0.06576768212262162
0.004,0.027,0.06586244956676002
0.004,0.028,0.06587897717601843
0.004,0.029,0.06597334754242695
0.004,0.03,0.06599852662543942
0.004,0.031,0.06602053338978768
0.004,0.032,0.06604146109220319
0.004,0.033,0.06599954467348153
0.004,0.034,0.06619456521402352
0.004,0.035,0.06623517914565127
0.004,0.036,0.06630381752774006
0.004,0.037,0.06636698840921651
0.004,0.038,0.06649083582919478
0.004,0.039,0.06667928813180998
0.004,0.04,0.06673002498971795
0.004,0.041,0.06677245117458053
0.004,0.042,0.06688818483847317
0.004,0.043,0.06692144070191522
0.004,0.044,0.06703611732859696
0.004,0.045,0.06703454675370113
0.004,0.046,0.06711068487914448
0.004,0.047,0.0670978201025771
0.004,0.048,0.06727151237653087
0.004,0.049,0.06735213690706165
0.004,0.05,0.06730439787233303
0.004,0.051,0.06740822957450623
0.004,0.052,0.06749207480033972
0.004,0.053,0.06753006870751317
0.004,0.054,0.06755757367516013
0.004,0.055,0.06762898915677563
0.004,0.056,0.06770974319077525
0.004,0.057,0.0677181439621996
0.004,0.058,0.06779765797944665
0.004,0.059,0.06801206405833957
0.004,0.06,0.06811927828100825
0.004,0.061,0.06815613540174723
0.004,0.062,0.0682902618861545
0.004,0.063,0.06808819080092601
0.004,0.064,0.06807055923146814
0.004,0.065,0.0681443220035252
0.004,0.066,0.06810625761425647
0.004,0.067,0.06809352699288189
0.004,0.068,0.06813584614418192
0.004,0.069,0.0681682372148487
0.004,0.07,0.06822590678837416
0.004,0.071,0.06837631293378547
0.004,0.072,0.06846342114538848
0.004,0.073,0.0685767895673855
0.004,0.074,0.06842495183210136
0.004,0.075,0.06828482219833829
0.004,0.076,0.06841792128774507
0.004,0.077,0.06838326937527844
0.004,0.078,0.06858847566370584
0.004,0.079,0.06865461484013702
0.004,0.08,0.0687694347581472
0.004,0.081,0.06870577394238975
0.004,0.082,0.0689691874308432
0.004,0.083,0.06906843194630287
0.004,0.084,0.06922677099787203
0.004,0.085,0.06919652001838364
0.004,0.086,0.0692320054796633
0.004,0.087,0.06899092541565399
0.004,0.088,0.06896248315091466
0.004,0.089,0.06889091379947562
0.004,0.09,0.06873552575455934
0.004,0.091,0.06848018819054232
0.004,0.092,0.06849759593636043
0.004,0.093,0.06857488180682857
