Trial,MSE,C,Epsilon
0,0.09230212641216862,0.04960871047864142,0.03143224799993328
1,0.09578596597169547,0.07477802447563776,0.005954259878231156
2,0.09576851474561324,0.08332859521136396,0.02320817583311168
3,0.0974583600807306,0.04575537135988472,0.09155556640542947
4,0.09512278940486472,0.054734369774403026,0.03778542593701
5,0.09640174590754744,0.08082951939339597,0.016557863548661716
6,0.09670400145907895,0.0046628452926567,0.010960440557736342
7,0.09036259297896156,0.02519319103519676,0.024076594669285002
8,0.09847086344408494,0.09524839670874392,0.08287087712052453
9,0.0968232025850101,0.054190452954129796,0.08748617262021571
10,0.09102174091541196,0.011511935025045904,0.05762505666374166
11,0.09519128878488727,0.012330788038654478,0.05974790404838868
12,0.0958050811871177,0.024650830210318806,0.058697331418812414
13,0.09685233313902114,0.028181931705004992,0.05371774278445299
14,0.1015027719201315,0.024083438116865946,0.07211947904652295
15,0.1594097566035759,0.0004349780137417672,0.03993443766787606
16,0.10269159457166996,0.03336542788771456,0.07016400851648047
17,0.09633938355836254,0.015148046755148685,0.04352440137292632
18,0.09204337200178157,0.03778547219472789,0.02806086726438209
19,0.09310923402159355,0.014681256930620827,0.0996518046366637
20,0.09436276434499634,0.06490234796126751,0.04821719306187196
21,0.08920699834530856,0.037891459711987034,0.024910496277206387
22,0.09026452605322423,0.043615886279134194,0.0015297030217420703
23,0.09115598804512612,0.04065716854248487,0.003988316866131894
24,0.09399363588271482,0.06419210588753763,0.00020465174266766362
25,0.08455901485016415,0.033979904710232434,0.01773873924309484
26,0.09522039488220675,0.04403669527015919,0.015170558412868039
27,0.09561010155799095,0.0348051298093075,0.012458546868984092
28,0.09076027434270686,0.06064789434828668,0.018452601093832382
29,0.0915028140274575,0.05034150696549528,0.028651036284885495
30,0.09248104697541207,0.03227502485108473,0.03494677549724906
31,0.09198672275323652,0.019277042406365533,0.02308529496825429
32,0.08776469103678951,0.0405442139943612,0.006440134794090266
33,0.08694287339636136,0.046985298265307084,0.007609241486581405
34,0.0873183044031356,0.047207205148339454,0.006916379824872932
35,0.09599380669328932,0.0515525026340279,0.009527340611919557
36,0.08532556787260895,0.06971370891715845,0.007622003090791903
37,0.09382642467479738,0.0713102742219448,0.019178006149479166
38,0.08684697562429979,0.07562105874620877,0.008263083937981074
39,0.0853798183804073,0.09167665187562965,0.014554789404265016
40,0.08646638046351329,0.09363484157379344,0.03276831523578415
41,0.09241917314900552,0.09527191108281402,0.014457443778357264
42,0.08855155295147335,0.08472324489765673,0.03499584241273967
43,0.09356417328631594,0.08802567058338887,0.0216943472564948
44,0.09475526417381087,0.0996147407949764,0.02978127535686685
45,0.08764618054320708,0.0765790613965248,0.013635106167022341
46,0.09101387768806293,0.09021366640465134,0.01915427497805666
47,0.0846783385941916,0.07943149803849463,0.008981592779152371
48,0.09115205670346338,0.08056420531643636,0.0259948694094635
49,0.10004989772386916,0.07014914763664215,0.034152975587920194
50,0.09273980390934955,0.08994127817747995,0.04285345787203279
51,0.08608316156785915,0.07729144080082431,0.01088799366279585
52,0.09476035428118523,0.08109912085964475,0.012335566343584806
53,0.09233529172184403,0.0948681137706759,0.003861321806826559
54,0.0821318690916248,0.08560895000018631,0.01651948042731173
55,0.08852670686399805,0.08555642150947289,0.010442457596975725
56,0.09632551082291135,0.07154188824712827,0.01670524513663922
57,0.09323440644926068,0.07983487760221461,0.0012262919303935634
58,0.0849633797085483,0.058585641045834136,0.005254957440720152
59,0.08332091452801406,0.06376376747124438,0.0037429804566199653
60,0.09252599032373893,0.05859836178661375,0.021431099523996962
61,0.0816188038299248,0.06619036413936553,0.0036409718730833615
62,0.09025396119753595,0.06535066436442609,0.005367128966068135
63,0.08972518986614363,0.05721816735039452,0.002574400200450251
64,0.09063729733013892,0.06633068285022535,0.005912672456467406
65,0.09423571859619444,0.06046225280072883,0.00044841523150924295
66,0.09503935167192028,0.054178745897532625,0.0640625130284403
67,0.08806009588705359,0.06839165712281095,0.009770125941199042
68,0.09244969017052536,0.0620607646178456,0.004167966553605023
69,0.09230521263160478,0.07168483516869226,0.009073329421538344
70,0.09839193671623143,0.05565898350549172,0.01694258218332761
71,0.08866143031793666,0.07325600132579903,0.013924526520537887
72,0.09346470441544263,0.0677709272197807,0.015689878832581713
73,0.08406456855718249,0.06358788393524765,0.006923838873137276
74,0.08755212400855569,0.06267404772732993,0.006551208594881746
75,0.08477440123970884,0.07457444111089281,0.0033610608401277446
76,0.08738921916384199,0.07869206585541946,0.003706545252223892
77,0.08795241300327941,0.07474888849267936,0.011438014690375002
78,0.09296520195289194,0.05343533605790552,0.0023809368941660053
79,0.09258316301014798,0.05866000850743318,0.00043157174722881653
80,0.09250813005770141,0.0646193115715777,0.00865904770222511
81,0.10193807938501631,0.06868209392132264,0.07969007674317094
82,0.08340893751334916,0.08398532571943376,0.006420721021115858
83,0.09561257339730732,0.08665210172846503,0.005279538647654209
84,0.08893498503185873,0.08125309327562066,0.018984778258290126
85,0.08646722504495082,0.07399538651221141,0.012347948541705282
86,0.07510694326437416,0.08234020314454822,0.00703128245697174
87,0.08994726376162805,0.08215477579241402,0.008603801300530126
88,0.09046297499919113,0.0835287995604437,0.05320131091236611
89,0.0868611534958144,0.07795772147657422,0.0213180410818336
90,0.08930591273394876,0.030518022099508803,0.012468311372553522
91,0.09209899973963878,0.08663447713289568,0.0037720979338209575
92,0.09940159851747096,0.006003593041645654,0.0067280568190649735
93,0.08953564930658973,0.08906923101886098,0.0021415890657313307
94,0.0879871321176607,0.08435026123001518,0.01733000180936961
95,0.08877112094108887,0.018971625711240038,0.009881469111667741
96,0.09172975489762505,0.07574291427410863,0.005963469233323908
97,0.09647541923791145,0.06290541785256876,0.026344805016109266
98,0.09773412189414324,0.06680174333210206,0.00013219852784133318
99,0.0839342036181024,0.04884623043311495,0.008077522330723196
